MEMNAME,APPLICATION,GROUP_NAME,MESSAGE,HANDLED,JOB_NAME,SEVERITY,ORDER_ID,USER_ID,NODE_ID,HOST_TIME,CHANGED_BY,UPD_TIME,NOTES,DATA_CENTER,SERIAL,TYPE,CLOSED_FROM_EM,TICKET_NUMBER,RUN_COUNTER,REMEDY_PROFILE
SPBD0275.sh,01B1.기간계-시간외,SP1.해외주식주문결제,SPBD0275_S01이 종료 임계치를 초과 했습니다.,0,SPBD0275_S01,V,26dup,hdpfm,pcua02,2020/07/29 22:00:01,,,,pctmla01,3933,R,,,1,
SPBD0275.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0275_S02이 시작 임계치를 초과 했습니다.,0,SPBD0275_S02,V,26cng,hdpfm,PCUA,2020/07/29 22:15:00,,,,pctmla01,3934,R,,,0,
SPBD0271.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0271_S02이 시작 임계치를 초과 했습니다.,0,SPBD0271_S02,V,26cnf,hdpfm,PCUA,2020/07/29 22:15:00,,,,pctmla01,3935,R,,,0,
SPBD0201.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0201_S03이 시작 임계치를 초과 했습니다.,0,SPBD0201_S03,V,26cne,hdpfm,PCUA,2020/07/29 22:15:00,,,,pctmla01,3936,R,,,0,
IOBD0004.sh,02G1.정보계-장중,IO1.OTC_BO익일평가,LATE_SUB,0,IOBD0004_S02,U,26hz3,hdpfm,PIUA_01,2020/07/30 10:05:00,,,,pctmla01,3940,R,,,0,
 , , ,ONE OR MORE JOBS WILL NOT BE ORDERED DURING UPCOMING SYSTEM DAILY,0,,V,00000,,,2020/07/30 13:00:09,,,,pctmla01,3941,R,,,0,
 , , ,ONE OR MORE JOBS IN DAILY HDSCTM WERE NOT ORDERED,0,,V,00000,,,2020/07/30 14:06:39,,,,pctmla01,3942,R,,,0,
 ,01A1.기간계-장마감,SS1.장내채권체결대사,SSBD0003_S01이 종료 임계치를 초과 했습니다.,0,SSBD0003_S01,V,26o7x,hdpfm,pcua01,2020/07/30 16:00:01,,,,pctmla01,3943,R,,,1,
SPBD0275.sh,01B1.기간계-시간외,SP1.해외주식주문결제,SPBD0275_S01이 종료 임계치를 초과 했습니다.,0,SPBD0275_S01,V,26pen,hdpfm,pcua02,2020/07/30 22:00:00,,,,pctmla01,3944,R,,,1,
SPBD0201.sh,01C1.기간계-업무마감,SP1.CMA재투자,SPBD0201_S03이 시작 임계치를 초과 했습니다.,0,SPBD0201_S03,V,26o7h,hdpfm,PCUA,2020/07/30 22:15:00,,,,pctmla01,3945,R,,,0,
